Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,251.0,532.0,233.0,340.0
2044,249.0,527.0,233.0,340.0
3047,248.0,526.0,233.0,340.0
4049,248.0,526.0,233.0,341.0
5051,248.0,525.0,232.0,342.0
6053,248.0,527.0,232.0,344.0
7056,249.0,527.0,232.0,345.0
8058,249.0,528.0,232.0,347.0
9061,250.0,529.0,232.0,348.0
10063,251.0,531.0,230.0,349.0
11066,252.0,534.0,229.0,351.0
12068,253.0,536.0,228.0,353.0
13071,254.0,537.0,226.0,354.0
14073,255.0,539.0,225.0,356.0
15075,256.0,541.0,223.0,358.0
16077,257.0,544.0,222.0,360.0
17080,259.0,546.0,221.0,361.0
18082,260.0,548.0,220.0,361.0
19085,261.0,550.0,220.0,362.0
20087,263.0,551.0,220.0,362.0
21090,263.0,552.0,220.0,363.0
22092,264.0,552.0,219.0,363.0
23095,265.0,553.0,218.0,363.0
24097,266.0,555.0,218.0,363.0
25100,267.0,557.0,218.0,363.0
26102,267.0,559.0,218.0,363.0
27105,267.0,559.0,218.0,364.0
28107,267.0,559.0,218.0,364.0
29109,268.0,560.0,219.0,365.0
30111,269.0,560.0,219.0,366.0
31114,270.0,560.0,220.0,366.0
32116,270.0,561.0,220.0,366.0
33119,272.0,561.0,221.0,366.0
34121,272.0,562.0,220.0,367.0
35124,273.0,562.0,221.0,367.0
36126,273.0,561.0,221.0,368.0
37129,274.0,558.0,221.0,368.0
38131,274.0,554.0,220.0,368.0
39134,275.0,554.0,219.0,368.0
40136,276.0,556.0,219.0,368.0
41139,278.0,558.0,219.0,368.0
42141,279.0,561.0,219.0,367.0
43143,280.0,563.0,220.0,367.0
44145,280.0,565.0,220.0,367.0
45148,281.0,567.0,221.0,367.0
46150,281.0,569.0,221.0,367.0
47153,282.0,570.0,221.0,368.0
48155,282.0,572.0,220.0,369.0
49158,283.0,573.0,220.0,370.0
50160,284.0,575.0,219.0,370.0
51163,285.0,576.0,219.0,370.0
52165,286.0,577.0,218.0,369.0
53168,287.0,578.0,217.0,369.0
54170,288.0,579.0,216.0,369.0
55173,288.0,579.0,215.0,368.0
56175,288.0,580.0,214.0,367.0
57177,288.0,580.0,213.0,367.0
58179,288.0,581.0,213.0,366.0
59182,288.0,582.0,213.0,366.0
60184,287.0,582.0,213.0,366.0
61187,286.0,581.0,213.0,366.0
62189,286.0,581.0,214.0,367.0
63192,284.0,579.0,215.0,369.0
64194,282.0,577.0,216.0,371.0
65197,281.0,575.0,217.0,373.0
66199,280.0,573.0,220.0,376.0
67202,281.0,572.0,222.0,378.0
68204,280.0,569.0,224.0,381.0
69207,279.0,567.0,225.0,383.0
70209,278.0,564.0,226.0,384.0
71211,277.0,563.0,227.0,386.0
