Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,418.0,459.0,130.0,307.0
2044,417.0,458.0,130.0,307.0
3047,417.0,458.0,131.0,307.0
4049,417.0,458.0,131.0,308.0
5051,417.0,458.0,131.0,308.0
6053,417.0,458.0,131.0,308.0
7056,417.0,458.0,131.0,308.0
8058,417.0,457.0,131.0,308.0
9061,417.0,457.0,131.0,308.0
10063,418.0,459.0,132.0,309.0
11066,417.0,458.0,132.0,309.0
12068,417.0,458.0,132.0,309.0
13071,417.0,458.0,132.0,309.0
14073,417.0,458.0,132.0,309.0
15075,417.0,457.0,132.0,309.0
16077,416.0,456.0,132.0,309.0
17080,416.0,456.0,132.0,309.0
18082,416.0,456.0,132.0,309.0
19085,416.0,456.0,132.0,309.0
20087,416.0,456.0,132.0,309.0
21090,416.0,456.0,132.0,309.0
22092,416.0,456.0,132.0,309.0
23095,416.0,455.0,132.0,309.0
24097,416.0,455.0,132.0,309.0
25100,416.0,455.0,132.0,309.0
26102,416.0,455.0,132.0,309.0
27105,416.0,455.0,132.0,309.0
28107,416.0,455.0,132.0,310.0
29109,416.0,456.0,132.0,310.0
30111,416.0,456.0,132.0,310.0
31114,416.0,456.0,132.0,310.0
32116,416.0,457.0,132.0,310.0
33119,415.0,456.0,132.0,310.0
34121,415.0,457.0,132.0,310.0
35124,415.0,456.0,132.0,310.0
36126,415.0,456.0,132.0,310.0
37129,415.0,456.0,132.0,310.0
38131,415.0,456.0,132.0,310.0
39134,415.0,456.0,132.0,310.0
40136,415.0,456.0,132.0,310.0
41139,414.0,457.0,132.0,310.0
42141,414.0,457.0,132.0,309.0
43144,414.0,457.0,132.0,309.0
44145,414.0,457.0,132.0,310.0
45148,414.0,457.0,132.0,310.0
46150,414.0,457.0,132.0,310.0
47153,414.0,457.0,132.0,310.0
48155,414.0,457.0,132.0,310.0
49158,414.0,457.0,132.0,310.0
50160,414.0,457.0,132.0,310.0
51163,414.0,457.0,132.0,310.0
52165,413.0,457.0,132.0,309.0
