Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,570.0,480.0,393.0,490.0
2044,571.0,480.0,393.0,490.0
3047,571.0,480.0,394.0,490.0
4049,570.0,480.0,394.0,490.0
5051,570.0,480.0,394.0,490.0
6053,570.0,480.0,394.0,490.0
7056,570.0,480.0,394.0,490.0
8058,570.0,480.0,394.0,490.0
9061,570.0,480.0,393.0,489.0
10063,570.0,480.0,394.0,489.0
11066,570.0,480.0,393.0,489.0
12068,569.0,479.0,393.0,489.0
13071,569.0,479.0,393.0,489.0
14073,569.0,479.0,393.0,489.0
15076,569.0,479.0,393.0,488.0
16078,569.0,479.0,392.0,488.0
17080,569.0,478.0,392.0,488.0
18082,568.0,478.0,391.0,487.0
19085,568.0,478.0,391.0,487.0
20087,569.0,478.0,392.0,488.0
21090,568.0,478.0,391.0,487.0
22092,568.0,478.0,391.0,487.0
23095,568.0,478.0,391.0,487.0
24097,568.0,478.0,391.0,487.0
25100,568.0,477.0,390.0,486.0
26102,568.0,478.0,391.0,487.0
27105,568.0,477.0,390.0,486.0
28107,568.0,477.0,390.0,486.0
29110,568.0,477.0,390.0,486.0
30112,567.0,477.0,390.0,486.0
31115,567.0,477.0,390.0,486.0
32117,567.0,477.0,389.0,486.0
33119,567.0,477.0,389.0,486.0
34121,567.0,477.0,389.0,486.0
35124,567.0,477.0,389.0,486.0
36126,566.0,476.0,388.0,484.0
37129,566.0,476.0,388.0,485.0
38131,567.0,476.0,389.0,485.0
39134,567.0,476.0,388.0,485.0
40136,566.0,476.0,388.0,485.0
41139,567.0,476.0,388.0,485.0
42141,567.0,476.0,388.0,485.0
43144,566.0,476.0,388.0,485.0
44146,566.0,475.0,387.0,484.0
45149,566.0,476.0,387.0,484.0
46151,566.0,476.0,387.0,484.0
47154,566.0,476.0,387.0,484.0
48156,566.0,476.0,387.0,484.0
49158,566.0,476.0,387.0,484.0
50160,566.0,476.0,387.0,484.0
51163,566.0,476.0,387.0,484.0
52165,566.0,476.0,387.0,484.0
53168,566.0,476.0,387.0,484.0
54170,565.0,475.0,386.0,483.0
55173,566.0,476.0,387.0,484.0
56175,565.0,475.0,386.0,483.0
57178,566.0,475.0,386.0,484.0
58180,566.0,475.0,386.0,483.0
59183,566.0,475.0,387.0,484.0
60185,566.0,476.0,387.0,484.0
61188,566.0,475.0,386.0,483.0
62190,565.0,475.0,386.0,483.0
63193,565.0,475.0,386.0,483.0
64195,565.0,475.0,386.0,483.0
65197,566.0,475.0,386.0,483.0
66199,565.0,475.0,385.0,483.0
67202,565.0,475.0,385.0,483.0
68204,565.0,475.0,386.0,483.0
69207,565.0,475.0,385.0,483.0
70209,565.0,475.0,385.0,482.0
71212,565.0,475.0,385.0,483.0
72214,565.0,475.0,385.0,483.0
73217,565.0,475.0,385.0,482.0
74219,564.0,474.0,384.0,482.0
75222,564.0,474.0,384.0,482.0
76224,565.0,475.0,384.0,482.0
77227,565.0,475.0,385.0,482.0
78229,565.0,475.0,385.0,482.0
79232,564.0,474.0,384.0,482.0
80234,564.0,474.0,384.0,482.0
81235,565.0,475.0,384.0,482.0
82238,564.0,474.0,384.0,482.0
