Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,670.0,520.0,316.0,551.0
2044,670.0,519.0,317.0,549.0
3047,671.0,520.0,317.0,550.0
4049,673.0,524.0,322.0,552.0
5051,671.0,521.0,319.0,552.0
6053,667.0,521.0,322.0,552.0
7056,672.0,524.0,324.0,555.0
8058,675.0,526.0,327.0,558.0
9061,666.0,519.0,324.0,553.0
10063,665.0,520.0,321.0,550.0
11066,667.0,522.0,326.0,554.0
12068,663.0,516.0,321.0,550.0
13071,660.0,514.0,318.0,544.0
14073,657.0,511.0,318.0,544.0
15076,657.0,510.0,316.0,543.0
16078,658.0,512.0,318.0,545.0
17080,657.0,510.0,317.0,543.0
18082,657.0,511.0,318.0,544.0
19085,656.0,511.0,318.0,544.0
20087,664.0,517.0,323.0,551.0
21090,650.0,505.0,316.0,539.0
22092,652.0,508.0,317.0,541.0
23095,649.0,505.0,316.0,538.0
24097,649.0,505.0,314.0,537.0
25100,649.0,505.0,315.0,538.0
26102,651.0,506.0,316.0,539.0
27105,650.0,506.0,316.0,539.0
28107,654.0,509.0,318.0,543.0
29110,649.0,505.0,316.0,538.0
30112,652.0,507.0,318.0,541.0
31115,652.0,507.0,317.0,540.0
32117,656.0,511.0,320.0,544.0
33119,651.0,508.0,318.0,540.0
34121,656.0,511.0,320.0,544.0
35124,656.0,511.0,320.0,544.0
36126,657.0,512.0,320.0,545.0
37129,653.0,509.0,319.0,542.0
38131,657.0,512.0,321.0,545.0
39134,656.0,511.0,321.0,544.0
40136,659.0,514.0,323.0,548.0
41139,657.0,512.0,323.0,546.0
42141,652.0,507.0,320.0,541.0
43144,653.0,509.0,321.0,545.0
44146,651.0,507.0,320.0,542.0
45149,655.0,511.0,323.0,545.0
46151,653.0,509.0,322.0,544.0
47154,653.0,509.0,321.0,544.0
48156,649.0,505.0,320.0,540.0
49158,650.0,507.0,322.0,542.0
50160,651.0,507.0,322.0,542.0
51163,651.0,508.0,322.0,543.0
52165,654.0,510.0,324.0,546.0
53168,650.0,507.0,322.0,542.0
54170,651.0,509.0,324.0,544.0
55173,653.0,510.0,325.0,545.0
56175,655.0,513.0,327.0,548.0
57178,654.0,511.0,326.0,546.0
58180,646.0,505.0,321.0,539.0
59183,651.0,509.0,324.0,544.0
60185,649.0,507.0,323.0,542.0
61188,651.0,509.0,324.0,544.0
62190,654.0,512.0,326.0,546.0
63193,650.0,508.0,323.0,542.0
64195,647.0,506.0,321.0,539.0
65197,657.0,515.0,328.0,549.0
66199,653.0,510.0,325.0,544.0
67202,653.0,510.0,325.0,544.0
68204,652.0,510.0,325.0,545.0
69207,653.0,510.0,325.0,544.0
70209,653.0,510.0,325.0,544.0
71212,652.0,510.0,325.0,544.0
72214,648.0,506.0,323.0,540.0
73217,654.0,511.0,327.0,545.0
74219,655.0,511.0,326.0,545.0
75222,653.0,510.0,326.0,544.0
76224,657.0,513.0,328.0,547.0
77227,650.0,508.0,324.0,541.0
78229,649.0,507.0,325.0,541.0
79232,659.0,514.0,329.0,549.0
80234,653.0,510.0,327.0,544.0
81235,660.0,516.0,331.0,550.0
82238,652.0,509.0,327.0,544.0
83240,668.0,522.0,335.0,557.0
84243,652.0,509.0,326.0,542.0
85245,653.0,510.0,327.0,544.0
86248,653.0,511.0,328.0,545.0
87250,657.0,514.0,331.0,548.0
88253,654.0,512.0,330.0,546.0
89255,654.0,512.0,330.0,546.0
90258,653.0,510.0,328.0,543.0
91260,661.0,518.0,333.0,551.0
92263,651.0,509.0,327.0,542.0
93265,652.0,511.0,329.0,545.0
94268,654.0,512.0,330.0,546.0
95270,656.0,513.0,331.0,547.0
96273,661.0,517.0,333.0,551.0
97274,661.0,518.0,334.0,552.0
98277,652.0,509.0,329.0,544.0
99279,654.0,512.0,331.0,546.0
100282,655.0,513.0,331.0,546.0
101284,650.0,510.0,329.0,542.0
102287,650.0,510.0,329.0,542.0
103289,654.0,513.0,331.0,546.0
104292,656.0,514.0,332.0,546.0
105294,652.0,511.0,330.0,544.0
106297,650.0,510.0,330.0,543.0
107299,650.0,510.0,330.0,542.0
108302,652.0,511.0,330.0,543.0
109304,651.0,511.0,331.0,543.0
110307,648.0,508.0,328.0,540.0
111309,649.0,508.0,329.0,541.0
112312,649.0,508.0,328.0,540.0
113314,644.0,506.0,326.0,537.0
114317,649.0,508.0,328.0,540.0
115319,650.0,509.0,329.0,541.0
116322,646.0,506.0,327.0,538.0
117324,648.0,507.0,328.0,540.0
118327,648.0,508.0,329.0,541.0
119329,654.0,513.0,332.0,546.0
120332,655.0,514.0,333.0,546.0
121334,651.0,510.0,331.0,543.0
122337,654.0,513.0,333.0,545.0
123339,654.0,514.0,333.0,546.0
124342,646.0,507.0,328.0,538.0
125344,649.0,510.0,331.0,542.0
126347,651.0,511.0,331.0,543.0
127349,654.0,513.0,332.0,544.0
128352,646.0,507.0,330.0,540.0
129354,652.0,512.0,332.0,544.0
130357,653.0,513.0,334.0,546.0
131359,652.0,512.0,333.0,544.0
132362,649.0,509.0,332.0,542.0
133363,645.0,507.0,330.0,539.0
134366,648.0,510.0,333.0,543.0
135368,650.0,511.0,334.0,544.0
136371,652.0,512.0,335.0,545.0
137373,652.0,512.0,335.0,545.0
138376,648.0,509.0,334.0,542.0
139378,647.0,509.0,334.0,541.0
140381,642.0,508.0,331.0,538.0
141383,649.0,511.0,335.0,545.0
142386,650.0,511.0,334.0,542.0
143388,652.0,513.0,337.0,546.0
144391,653.0,515.0,337.0,546.0
145393,651.0,512.0,335.0,544.0
146396,647.0,509.0,334.0,541.0
147398,641.0,507.0,331.0,537.0
148401,644.0,507.0,333.0,539.0
149403,644.0,506.0,333.0,539.0
150406,646.0,509.0,334.0,541.0
151408,650.0,512.0,336.0,544.0
152411,639.0,505.0,330.0,534.0
153413,645.0,509.0,335.0,541.0
154416,642.0,506.0,333.0,538.0
155418,640.0,504.0,331.0,534.0
156421,643.0,507.0,334.0,538.0
157423,638.0,503.0,332.0,534.0
158426,637.0,501.0,331.0,532.0
159428,636.0,501.0,332.0,534.0
160431,642.0,506.0,335.0,538.0
161433,643.0,508.0,336.0,539.0
162436,636.0,502.0,332.0,534.0
163438,638.0,503.0,333.0,535.0
164441,640.0,505.0,334.0,536.0
165443,640.0,505.0,333.0,536.0
166446,647.0,510.0,337.0,542.0
167448,640.0,505.0,333.0,537.0
168451,643.0,508.0,335.0,540.0
169453,639.0,506.0,333.0,536.0
170456,643.0,508.0,335.0,539.0
171458,641.0,506.0,333.0,536.0
172461,641.0,507.0,334.0,537.0
173463,641.0,507.0,334.0,538.0
174466,644.0,509.0,335.0,540.0
175467,641.0,507.0,333.0,537.0
176470,644.0,509.0,336.0,541.0
177472,646.0,511.0,337.0,543.0
178475,634.0,501.0,330.0,531.0
179477,644.0,510.0,337.0,540.0
180480,636.0,503.0,331.0,532.0
