Time,MQ-2,MQ-3,MQ-136,MQ-137
21090,591.0,469.0,320.0,461.0
22092,591.0,468.0,320.0,461.0
23095,590.0,468.0,320.0,461.0
24097,590.0,467.0,320.0,460.0
25100,591.0,468.0,320.0,461.0
26102,591.0,468.0,320.0,461.0
27105,591.0,468.0,320.0,461.0
28107,590.0,468.0,320.0,461.0
29110,591.0,469.0,320.0,462.0
30112,591.0,468.0,320.0,461.0
31115,591.0,468.0,320.0,461.0
32117,591.0,469.0,319.0,462.0
33119,592.0,469.0,320.0,462.0
34121,592.0,469.0,319.0,462.0
35124,592.0,469.0,319.0,461.0
36126,592.0,469.0,319.0,461.0
37129,593.0,469.0,319.0,462.0
38131,593.0,469.0,319.0,462.0
39134,593.0,469.0,318.0,462.0
40136,594.0,469.0,318.0,462.0
41139,594.0,469.0,318.0,462.0
42141,594.0,469.0,318.0,462.0
43144,595.0,470.0,318.0,463.0
44146,595.0,470.0,318.0,464.0
45149,596.0,470.0,318.0,463.0
46151,596.0,470.0,318.0,463.0
47154,596.0,470.0,318.0,463.0
48156,597.0,470.0,318.0,463.0
49158,597.0,470.0,318.0,463.0
50160,596.0,470.0,318.0,463.0
51163,597.0,470.0,318.0,463.0
52165,596.0,470.0,318.0,463.0
53168,596.0,469.0,317.0,463.0
54170,596.0,470.0,318.0,463.0
55173,596.0,469.0,318.0,463.0
56175,597.0,471.0,318.0,464.0
57178,597.0,471.0,318.0,464.0
58180,596.0,470.0,318.0,464.0
59183,597.0,470.0,318.0,464.0
60185,596.0,470.0,318.0,464.0
61188,598.0,471.0,319.0,465.0
62190,598.0,471.0,318.0,465.0
63193,598.0,471.0,319.0,465.0
64195,598.0,471.0,318.0,465.0
65197,598.0,471.0,318.0,465.0
66199,598.0,471.0,318.0,465.0
67202,598.0,472.0,318.0,465.0
68204,598.0,471.0,318.0,465.0
69207,599.0,472.0,318.0,466.0
70209,599.0,472.0,318.0,466.0
71212,599.0,472.0,318.0,466.0
72214,599.0,471.0,317.0,466.0
73217,599.0,471.0,317.0,465.0
74219,600.0,473.0,318.0,467.0
75222,601.0,473.0,318.0,467.0
76224,599.0,472.0,317.0,466.0
77227,600.0,472.0,317.0,466.0
78229,601.0,472.0,317.0,466.0
79232,601.0,473.0,317.0,466.0
80234,602.0,473.0,317.0,467.0
81235,602.0,473.0,316.0,467.0
82238,604.0,475.0,317.0,468.0
83240,604.0,475.0,317.0,468.0
84243,604.0,474.0,317.0,468.0
85245,604.0,474.0,316.0,468.0
86248,604.0,475.0,316.0,469.0
87250,603.0,474.0,316.0,468.0
88253,603.0,474.0,317.0,469.0
89255,602.0,474.0,316.0,469.0
90258,602.0,474.0,316.0,469.0
91260,601.0,473.0,316.0,468.0
92263,601.0,473.0,316.0,468.0
93265,600.0,473.0,316.0,468.0
94268,600.0,473.0,316.0,469.0
95270,600.0,473.0,317.0,469.0
96273,599.0,473.0,316.0,468.0
97274,600.0,473.0,316.0,469.0
98277,598.0,473.0,316.0,469.0
99279,600.0,474.0,317.0,470.0
100282,599.0,474.0,317.0,470.0
101284,600.0,475.0,318.0,470.0
102287,599.0,474.0,317.0,470.0
103289,599.0,474.0,317.0,470.0
104292,598.0,473.0,317.0,469.0
105294,599.0,474.0,317.0,471.0
106297,598.0,474.0,317.0,470.0
107299,597.0,473.0,316.0,469.0
108302,599.0,475.0,318.0,471.0
109304,597.0,474.0,317.0,470.0
110307,596.0,473.0,316.0,470.0
111309,596.0,474.0,317.0,470.0
112312,596.0,473.0,316.0,470.0
113314,598.0,475.0,317.0,471.0
114317,597.0,474.0,317.0,470.0
115319,597.0,474.0,317.0,471.0
116322,597.0,474.0,317.0,470.0
117324,596.0,474.0,317.0,470.0
118327,596.0,474.0,317.0,470.0
119329,596.0,474.0,316.0,470.0
120332,597.0,475.0,317.0,471.0
121334,598.0,476.0,318.0,472.0
122337,595.0,474.0,317.0,470.0
123339,596.0,474.0,317.0,471.0
124342,594.0,473.0,317.0,470.0
125344,595.0,473.0,317.0,471.0
126347,595.0,473.0,317.0,472.0
127349,594.0,473.0,317.0,471.0
128352,593.0,472.0,317.0,471.0
129354,594.0,472.0,317.0,472.0
130357,593.0,472.0,317.0,471.0
131359,594.0,473.0,317.0,472.0
132362,592.0,472.0,317.0,471.0
133363,594.0,473.0,318.0,472.0
134366,592.0,472.0,317.0,472.0
135368,594.0,473.0,318.0,473.0
136371,592.0,473.0,318.0,472.0
137373,592.0,473.0,317.0,472.0
138376,591.0,473.0,317.0,472.0
