Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,544.0,493.0,265.0,433.0
2044,542.0,490.0,263.0,431.0
3047,543.0,491.0,263.0,432.0
4049,542.0,491.0,263.0,431.0
5051,542.0,490.0,263.0,431.0
6053,541.0,489.0,262.0,430.0
7056,541.0,490.0,262.0,431.0
8058,542.0,490.0,263.0,431.0
9061,542.0,490.0,263.0,431.0
10063,541.0,489.0,262.0,431.0
11066,540.0,489.0,261.0,430.0
12068,541.0,489.0,262.0,431.0
13071,542.0,489.0,262.0,431.0
14073,541.0,488.0,262.0,430.0
15076,539.0,487.0,261.0,429.0
16078,539.0,487.0,261.0,429.0
17080,540.0,487.0,261.0,430.0
18082,539.0,487.0,260.0,429.0
19085,539.0,487.0,260.0,429.0
20087,539.0,487.0,260.0,429.0
21090,540.0,487.0,260.0,429.0
22092,539.0,487.0,260.0,429.0
23095,539.0,486.0,260.0,429.0
24097,542.0,488.0,261.0,431.0
25100,542.0,489.0,261.0,431.0
26102,538.0,486.0,259.0,428.0
27105,540.0,487.0,260.0,429.0
28107,539.0,486.0,260.0,429.0
29110,539.0,486.0,259.0,429.0
30112,540.0,487.0,260.0,430.0
31115,540.0,486.0,260.0,429.0
32117,538.0,485.0,259.0,428.0
33119,539.0,486.0,260.0,429.0
34121,537.0,484.0,258.0,427.0
35124,537.0,484.0,259.0,428.0
36126,540.0,486.0,260.0,429.0
37129,541.0,487.0,261.0,430.0
38131,539.0,486.0,260.0,429.0
39134,540.0,486.0,260.0,430.0
40136,543.0,488.0,261.0,432.0
41139,540.0,486.0,260.0,429.0
42141,539.0,485.0,259.0,429.0
43144,537.0,483.0,259.0,428.0
44146,537.0,483.0,258.0,427.0
45149,536.0,482.0,258.0,426.0
46151,537.0,483.0,258.0,427.0
47154,536.0,482.0,257.0,426.0
48156,534.0,480.0,256.0,424.0
49158,534.0,480.0,256.0,424.0
50160,535.0,480.0,256.0,425.0
51163,534.0,480.0,256.0,424.0
52165,534.0,480.0,256.0,424.0
53168,534.0,480.0,256.0,424.0
54170,533.0,478.0,254.0,423.0
55173,534.0,480.0,256.0,424.0
56175,533.0,479.0,255.0,424.0
57178,534.0,480.0,256.0,424.0
58180,534.0,480.0,256.0,424.0
59183,534.0,480.0,256.0,424.0
60185,534.0,479.0,256.0,424.0
61188,533.0,479.0,255.0,424.0
62190,534.0,479.0,255.0,424.0
63193,535.0,480.0,256.0,425.0
64194,535.0,480.0,256.0,425.0
65197,535.0,480.0,256.0,425.0
66199,536.0,480.0,256.0,426.0
67202,532.0,478.0,254.0,423.0
68204,532.0,477.0,255.0,423.0
69207,533.0,478.0,256.0,424.0
70209,533.0,478.0,255.0,423.0
71212,534.0,479.0,256.0,424.0
72214,535.0,480.0,258.0,426.0
73217,536.0,481.0,258.0,426.0
74219,534.0,480.0,257.0,425.0
75222,535.0,480.0,257.0,425.0
76224,536.0,481.0,258.0,426.0
77227,536.0,482.0,258.0,426.0
78229,539.0,484.0,259.0,428.0
79230,537.0,482.0,259.0,427.0
80233,536.0,481.0,258.0,426.0
81235,536.0,481.0,258.0,426.0
82238,535.0,480.0,257.0,426.0
83240,535.0,479.0,257.0,425.0
84243,534.0,478.0,256.0,424.0
85245,534.0,478.0,256.0,424.0
86248,534.0,479.0,256.0,425.0
87250,535.0,480.0,257.0,425.0
88253,535.0,480.0,256.0,425.0
89255,534.0,479.0,256.0,424.0
90258,534.0,478.0,255.0,424.0
91260,533.0,477.0,255.0,423.0
92263,533.0,477.0,254.0,423.0
93265,533.0,477.0,254.0,423.0
94268,533.0,477.0,254.0,423.0
95269,533.0,478.0,254.0,423.0
96272,534.0,478.0,255.0,424.0
97274,533.0,477.0,254.0,423.0
98277,533.0,477.0,254.0,423.0
99279,531.0,475.0,253.0,421.0
100282,531.0,475.0,253.0,421.0
101284,530.0,474.0,252.0,420.0
102287,531.0,475.0,253.0,421.0
103289,532.0,476.0,253.0,422.0
104292,531.0,475.0,253.0,421.0
105294,531.0,475.0,253.0,421.0
106297,529.0,473.0,252.0,420.0
107299,529.0,473.0,251.0,419.0
108302,530.0,473.0,252.0,420.0
109304,528.0,472.0,251.0,419.0
110307,530.0,473.0,251.0,419.0
111309,530.0,473.0,251.0,419.0
112312,530.0,474.0,251.0,420.0
113314,530.0,473.0,251.0,419.0
114317,528.0,472.0,250.0,418.0
115319,528.0,471.0,250.0,418.0
116322,529.0,472.0,250.0,418.0
117324,529.0,472.0,250.0,418.0
118327,529.0,473.0,250.0,419.0
119329,528.0,472.0,250.0,418.0
120332,528.0,472.0,250.0,418.0
121334,530.0,472.0,251.0,419.0
122337,529.0,472.0,250.0,418.0
123339,529.0,472.0,250.0,418.0
124342,528.0,471.0,249.0,417.0
125344,531.0,473.0,253.0,420.0
126346,530.0,473.0,252.0,420.0
127348,530.0,473.0,252.0,420.0
128351,530.0,473.0,252.0,420.0
129353,530.0,473.0,252.0,420.0
130356,529.0,472.0,251.0,419.0
131358,530.0,473.0,252.0,420.0
132361,530.0,473.0,252.0,420.0
133363,530.0,473.0,252.0,420.0
134366,530.0,472.0,252.0,420.0
135368,530.0,473.0,252.0,420.0
136371,531.0,474.0,253.0,421.0
137373,531.0,473.0,253.0,421.0
138376,530.0,473.0,252.0,421.0
139378,530.0,472.0,252.0,420.0
140381,529.0,471.0,251.0,420.0
141383,529.0,471.0,251.0,420.0
142386,529.0,471.0,251.0,419.0
143388,528.0,470.0,251.0,419.0
144391,527.0,470.0,250.0,418.0
145393,527.0,470.0,250.0,418.0
146396,527.0,470.0,250.0,418.0
147398,526.0,468.0,249.0,417.0
148401,529.0,472.0,253.0,421.0
149403,527.0,470.0,252.0,419.0
150406,527.0,470.0,251.0,419.0
151408,529.0,471.0,252.0,420.0
152411,530.0,472.0,252.0,420.0
153413,530.0,472.0,251.0,420.0
154416,531.0,472.0,251.0,421.0
155418,531.0,473.0,251.0,421.0
156421,530.0,472.0,251.0,420.0
157423,529.0,471.0,251.0,420.0
158426,529.0,471.0,250.0,419.0
159428,529.0,471.0,251.0,420.0
160431,529.0,471.0,251.0,420.0
161433,529.0,470.0,250.0,419.0
162436,528.0,470.0,250.0,419.0
163438,527.0,469.0,249.0,418.0
164441,528.0,469.0,249.0,418.0
165443,528.0,469.0,249.0,418.0
166446,528.0,469.0,249.0,418.0
167447,527.0,468.0,249.0,418.0
168450,528.0,469.0,249.0,418.0
169452,527.0,468.0,249.0,418.0
170455,527.0,467.0,248.0,417.0
171457,528.0,469.0,251.0,419.0
172460,527.0,468.0,250.0,418.0
173462,527.0,468.0,251.0,419.0
174465,527.0,468.0,251.0,418.0
175467,526.0,468.0,250.0,418.0
176470,526.0,467.0,250.0,417.0
177472,526.0,467.0,250.0,417.0
178475,526.0,466.0,250.0,417.0
179477,525.0,467.0,250.0,417.0
180480,525.0,466.0,249.0,417.0
